subject_session	dataset	path	fieldmaps	connectome: fMRIPrep	connectome: C-PAC: fmriprep-options
sub-A00085406_ses-BAS1_acq-VARIANTObliquity	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00085406/ses-BAS1	None		
sub-A00085406_ses-BAS1_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00085406/ses-BAS1	None	sub-A00085406_ses-BAS1_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00085406_ses-BAS1_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00085406/ses-BAS1	None	sub-A00085406_ses-BAS1_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00085406_ses-BAS1_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00085406/ses-BAS1	None	sub-A00085406_ses-BAS1_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00085406_ses-BAS1_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00085406/ses-BAS1	None	sub-A00085406_ses-BAS1_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00085406_ses-BAS1_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00085406/ses-BAS1	None	sub-A00085406_ses-BAS1_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00085406_ses-BAS1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00085406/ses-BAS1	None	sub-A00085406_ses-BAS1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00031893_ses-BAS1_acq-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00031893/ses-BAS1	None		
sub-A00031893_ses-BAS1_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00031893/ses-BAS1	None	sub-A00031893_ses-BAS1_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00031893_ses-BAS1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00031893/ses-BAS1	None	sub-A00031893_ses-BAS1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
